parcelid,logerror,transactiondate,subdate
11016594,0.0276,1/1/2016,201601
14366692,-0.1684,1/1/2016,201601
12098116,-0.004,1/1/2016,201601
12643413,0.0218,2/1/2016,201601
14432541,-0.005,2/1/2016,201601
11509835,-0.2705,2/1/2016,201601
12286022,0.044,2/1/2016,201601
17177301,0.1638,2/1/2016,201601
14739064,-0.003,2/1/2016,201601
14677559,0.0843,3/1/2016,201601
10854446,0.3825,3/1/2016,201601
11672170,-0.0161,3/1/2016,201601
10949761,0.0344,3/1/2016,201601
14665244,0.0816,3/1/2016,201601
14148540,-0.045,3/1/2016,201601
14057104,0.002,3/1/2016,201601
17296797,0.044,3/1/2016,201601
12524288,-0.0419,3/1/2016,201601
14091502,-0.002,3/1/2016,201601
10815909,0.01,3/1/2016,201601
12453853,-0.0387,3/1/2016,201601
14253461,0.0218,3/1/2016,201601
14001034,0.0149,3/1/2016,201601
11458863,0.1151,3/1/2016,201601
13957980,-0.1696,3/1/2016,201601
12752047,-0.044,3/1/2016,201601
11188425,-0.0747,3/1/2016,201601
14646051,0.008,3/1/2016,201601
10805063,0.001,3/1/2016,201601
12524725,-0.0534,3/1/2016,201601
11104966,-0.0398,3/1/2016,201601
11624877,-0.0294,3/1/2016,201601
12440314,0.0208,3/1/2016,201601
12037577,-0.0233,3/1/2016,201601
11024002,0.0266,3/1/2016,201601
10777209,-0.0222,3/1/2016,201601
14022628,-0.0274,3/1/2016,201601
14195954,-0.001,3/1/2016,201601
12339438,0.0526,3/1/2016,201601
14022972,-0.0481,3/1/2016,201601
11921507,0.0411,3/1/2016,201601
14055759,0.0237,3/1/2016,201601
14337898,-0.006,3/1/2016,201601
10984360,0.0411,3/1/2016,201601
11708989,-0.091,3/1/2016,201601
14008449,0.045,3/1/2016,201601
10812783,0.0402,3/1/2016,201601
14389517,0.045,3/1/2016,201601
11874881,-0.0367,3/1/2016,201601
12859348,-0.0408,3/1/2016,201601
12885665,0.0159,3/1/2016,201601
12934834,0.006,3/1/2016,201601
14077187,-0.0171,3/1/2016,201601
14693306,0.0344,3/1/2016,201601
13892813,0.0639,3/1/2016,201601
11510907,0.0639,3/1/2016,201601
11519155,0.0573,3/1/2016,201601
14365990,0.0276,3/1/2016,201601
11403600,-0.1497,3/1/2016,201601
12086710,0.076,4/1/2016,201601
14030226,-0.0481,4/1/2016,201601
12701128,0.2119,4/1/2016,201601
14632504,0.0109,4/1/2016,201601
12932190,-0.001,4/1/2016,201601
14696295,0,4/1/2016,201601
11940440,-0.0576,4/1/2016,201601
14674493,-0.0356,4/1/2016,201601
17249897,0.0227,4/1/2016,201601
10908638,0.001,4/1/2016,201601
10953535,-0.006,4/1/2016,201601
14246533,-0.0253,4/1/2016,201601
11267869,-0.0523,4/1/2016,201601
10746700,0.1467,4/1/2016,201601
12921680,0.0109,4/1/2016,201601
17282027,0.0296,4/1/2016,201601
14731078,-0.0387,4/1/2016,201601
13964033,0.004,4/1/2016,201601
11523731,-0.0294,4/1/2016,201601
11427633,0.0296,4/1/2016,201601
14042212,0.0667,4/1/2016,201601
13980837,-0.0253,4/1/2016,201601
12533657,0.0276,4/1/2016,201601
14130954,0.0286,4/1/2016,201601
14502204,0.0159,4/1/2016,201601
12516077,0.0286,4/1/2016,201601
17158640,0.1142,4/1/2016,201601
14733074,0.0334,4/1/2016,201601
13077042,0.0402,4/1/2016,201601
11702617,-0.0243,4/1/2016,201601
14229471,0.045,4/1/2016,201601
12780042,0.0344,4/1/2016,201601
12193158,-0.0336,4/1/2016,201601
11948830,-0.1427,4/1/2016,201601
14421073,-0.2459,4/1/2016,201601
11986763,-0.078,4/1/2016,201601
17192496,-0.006,4/1/2016,201601
14715925,-0.1244,4/1/2016,201601
17088153,-0.044,4/1/2016,201601
14616359,-0.078,4/1/2016,201601
10801388,0.0149,4/1/2016,201601
14322594,0.063,4/1/2016,201601
14324521,-0.1997,4/1/2016,201601
17118736,-0.4095,4/1/2016,201601
10848180,-0.0419,4/1/2016,201601
12755278,0.0526,4/1/2016,201601
11057902,-0.0222,4/1/2016,201601
11641841,-0.1473,4/1/2016,201601
14227578,0.0178,4/1/2016,201601
14140396,-0.091,4/1/2016,201601
14412754,0.008,4/1/2016,201601
14692960,-0.1744,4/1/2016,201601
10752781,-0.001,4/1/2016,201601
14443228,0.0488,4/1/2016,201601
14421427,0.0573,4/1/2016,201601
11056378,0.003,4/1/2016,201601
12863513,0.145,4/1/2016,201601
11269343,0.1398,4/1/2016,201601
12515416,-0.0598,4/1/2016,201601
10748903,-0.009,4/1/2016,201601
12597787,0.0208,4/1/2016,201601
11056109,-0.006,4/1/2016,201601
12338963,0.3358,4/1/2016,201601
12887934,0.005,4/1/2016,201601
12498811,-0.1358,4/1/2016,201601
12221552,-0.6368,4/1/2016,201601
12136379,-0.006,4/1/2016,201601
17188935,-0.002,4/1/2016,201601
14084996,0.0554,4/1/2016,201601
10999114,-0.1087,4/1/2016,201601
14244947,0.0149,4/1/2016,201601
12261255,-0.0233,4/1/2016,201601
11002227,0.0421,4/1/2016,201601
12727119,-0.4277,4/1/2016,201601
11603214,-0.001,4/1/2016,201601
13880945,-0.0202,4/1/2016,201601
12505717,0.0535,4/1/2016,201601
17055019,0.0421,4/1/2016,201601
13877133,0.098,4/1/2016,201601
11297146,-0.0769,4/1/2016,201601
12268525,0.005,4/1/2016,201601
11448170,0.098,4/1/2016,201601
13935681,-0.0932,4/1/2016,201601
10883409,0.0944,4/1/2016,201601
